index,q,powerloss,f,vout,iout,pa,prx,bty_temp,chnl,ce_pkg,rpp_pkg,ss_pkg,location
326,1.22,6233.57,135.44,16.49,8.89,38.58,15.35,48.63,2.99,-34.45,2.37,15.19,1
327,0.9,3740.64,140.93,16.28,1164.14,28.76,41.29,3.93,4.08,65.1,23.31,107.88,0
328,0.3,2552.09,140.25,17.06,2462.75,44.13,13.64,4.39,5.94,-82.7,64.71,94.23,0
329,0.9,4608.07,130.67,17.81,2199.24,24.66,36.87,41.73,7.78,90.77,26.94,220.24,1
330,0.67,4514.87,138.0,17.42,1732.1,50.59,42.26,23.13,6.7,-109.77,40.37,181.46,0
331,1.78,6780.54,138.18,16.24,526.56,56.77,7.32,4.39,0.83,71.98,8.09,44.49,0
332,1.59,6608.35,145.12,15.17,1668.5,63.61,44.19,6.96,1.81,59.53,20.0,128.44,1
334,0.76,3748.93,134.61,16.49,1947.61,48.05,41.94,24.03,3.06,90.51,29.44,226.68,0
335,0.52,9851.4,137.64,15.59,1539.12,23.16,36.28,23.59,6.3,-61.64,54.78,202.57,0
336,1.59,1677.72,142.65,15.39,1620.92,59.79,59.68,47.46,0.4,-0.77,30.25,154.68,1
337,0.87,7437.5,145.52,16.25,487.43,28.13,47.0,11.11,6.41,-93.88,61.57,77.02,1
338,0.51,3148.41,143.51,16.33,2497.68,55.07,23.68,48.91,7.34,-47.18,56.0,17.23,1
339,0.12,6277.18,132.14,17.87,407.21,39.56,28.3,20.23,0.77,-56.49,63.92,70.26,0
340,1.27,5585.67,145.03,18.16,2035.91,29.28,57.49,3.09,7.23,24.69,14.56,254.4,1
341,1.2,3594.38,144.27,17.09,1568.75,12.75,60.74,38.67,2.71,-119.78,49.99,164.04,1
342,0.03,3094.67,141.48,18.47,62.53,39.55,40.55,10.16,1.18,-71.34,40.36,63.64,1
343,0.21,1034.26,144.62,18.35,1923.44,55.15,25.2,23.26,0.31,-49.06,56.35,248.59,0
344,0.17,4355.13,131.71,17.79,1500.56,38.2,59.22,1.03,1.79,90.45,4.46,80.8,1
345,0.44,8282.92,143.29,16.17,2378.12,50.74,0.69,12.47,6.93,-6.22,34.88,115.13,1
346,1.62,1835.1,136.26,15.79,69.27,38.45,12.65,45.13,7.21,45.96,6.87,135.22,1
347,1.7,5722.76,141.35,15.74,1786.37,51.83,50.81,28.0,4.88,22.08,34.36,222.81,1
348,1.96,5438.07,144.05,18.66,2345.08,31.74,56.87,37.6,5.39,-86.91,14.79,39.1,1
349,1.05,1037.39,131.33,18.55,1338.88,13.88,27.76,33.64,1.02,-59.74,19.92,236.06,1
350,1.51,5853.62,143.94,18.58,2436.78,41.76,56.29,18.8,6.04,46.7,28.38,186.46,1
351,1.26,663.1,139.4,16.44,2131.64,49.39,25.64,23.69,4.31,-72.64,7.06,185.82,1
352,0.98,4785.84,135.92,18.55,1276.82,33.17,44.2,48.67,7.0,101.98,38.25,193.2,0
353,1.88,5605.39,137.17,18.69,964.32,3.91,40.45,24.36,1.55,-89.4,17.78,177.02,1
354,0.97,791.13,130.98,17.21,2251.73,39.02,5.07,41.89,2.87,111.61,36.58,201.57,0
355,1.72,3917.59,143.46,15.12,2309.11,27.11,34.99,47.7,5.0,1.17,1.94,100.01,1
357,0.53,4602.35,137.31,18.62,1809.43,0.08,35.36,13.67,1.5,-63.67,16.98,94.01,0
360,1.97,1776.12,145.59,17.44,160.69,9.96,27.31,29.52,3.18,16.02,24.44,95.82,1
362,1.91,7528.58,138.37,16.21,1162.64,28.58,8.25,16.97,2.81,-80.48,34.0,96.77,0
363,0.24,3291.54,138.58,16.33,1710.88,24.59,57.7,47.18,2.1,-70.66,56.27,216.0,1
365,1.52,4194.22,142.45,18.85,1261.8,37.12,58.15,40.23,6.68,63.19,2.42,82.31,0
366,1.87,7669.43,138.71,17.98,956.1,10.65,53.63,4.46,0.23,-28.45,13.89,215.68,0
367,0.37,4774.62,141.82,17.75,1282.47,3.86,18.64,13.73,3.68,105.84,7.39,221.25,0
368,0.2,822.62,134.32,16.07,2295.05,18.36,10.99,30.52,4.05,-40.56,45.21,205.56,0
370,0.67,9504.7,133.35,16.69,843.63,24.89,28.91,16.69,6.32,-94.79,15.0,87.98,1
371,1.1,3634.09,132.7,15.62,812.74,38.1,14.74,2.06,4.47,-112.06,22.96,242.87,1
372,0.29,5769.84,143.04,17.13,3.89,60.44,60.91,21.9,2.75,18.4,9.43,132.25,1
373,1.76,2120.85,141.38,15.7,78.43,7.02,48.69,32.44,7.05,5.78,50.23,131.76,1
374,1.31,8085.66,145.62,16.64,2330.69,17.61,49.9,16.78,4.3,94.79,43.49,115.29,0
375,1.3,5614.57,131.64,17.44,1909.14,0.49,41.44,19.63,3.89,75.45,34.01,59.71,1
376,1.79,235.96,131.98,17.69,589.52,24.82,8.8,5.85,7.28,-37.92,46.09,124.03,0
377,1.73,5578.99,132.48,17.72,737.58,37.05,41.0,3.5,4.92,48.57,41.97,13.22,0
379,1.2,2837.08,130.92,17.74,2256.2,9.63,8.8,0.24,0.59,89.72,29.53,7.52,1
381,0.48,1701.06,139.06,16.42,1035.63,43.39,51.44,18.22,7.16,-20.46,27.42,25.78,0
382,0.25,7286.6,133.85,16.73,1777.32,19.66,47.3,19.09,0.47,117.79,37.57,67.62,0
383,1.36,5862.88,143.44,18.21,2123.03,44.08,16.84,8.78,3.23,-36.62,14.83,182.17,0
384,0.81,8132.95,131.89,17.36,1862.79,5.18,52.25,11.12,7.93,8.71,11.13,136.65,1
385,0.38,7920.57,131.07,16.92,63.98,40.26,22.06,49.74,0.16,24.32,53.93,238.74,0
386,1.97,3921.73,132.58,16.23,953.37,62.32,30.14,37.06,0.03,37.21,54.22,228.52,0
387,1.21,3563.66,134.98,18.37,2329.55,44.1,9.28,10.5,2.88,-114.46,9.8,218.43,1
388,1.97,7118.57,144.33,15.47,1078.96,35.99,62.84,44.53,6.68,60.49,48.85,60.32,0
389,1.79,6641.98,133.03,16.32,2293.51,61.08,41.36,16.99,7.91,-103.42,20.44,108.44,1
390,1.37,9455.12,138.29,15.36,1347.5,24.39,7.65,24.18,5.33,61.12,30.06,144.88,1
391,0.09,6242.69,142.73,15.01,1552.84,46.2,14.25,3.83,3.89,-53.97,38.99,119.7,1
392,1.0,6880.55,140.98,17.27,1453.37,17.92,45.27,22.0,5.28,109.45,62.09,99.87,0
393,0.98,2760.61,134.21,16.63,680.83,30.47,38.79,38.6,3.79,-35.16,6.25,151.7,1
394,0.52,1984.59,137.72,15.98,1534.12,53.19,2.82,5.13,1.18,-81.14,50.31,91.12,0
395,0.76,2675.0,134.34,16.08,2172.81,42.61,28.55,0.5,2.56,-90.7,31.6,30.25,0
396,1.12,9952.22,134.93,16.78,2321.27,58.78,1.6,15.27,4.87,74.81,20.11,43.6,1
397,1.42,891.91,130.8,17.74,397.74,60.58,50.5,16.72,4.34,-3.04,30.42,9.39,1
398,1.8,4582.86,140.67,18.52,2251.05,50.33,33.8,4.04,5.87,98.28,9.06,43.04,0
399,0.87,7376.85,139.19,15.7,1827.72,50.78,8.51,14.12,1.47,-101.56,41.2,180.74,1
400,1.91,1013.72,143.5,16.04,2139.42,27.18,48.9,19.72,2.21,-82.33,14.86,234.06,1
401,1.3,535.9,134.9,17.16,1599.89,10.38,52.84,26.27,5.07,84.93,63.17,56.8,0
402,1.26,6613.23,136.87,18.37,629.87,11.23,15.46,35.46,4.13,2.19,31.99,40.24,0
403,1.51,7203.04,135.49,18.51,1259.99,26.74,37.99,31.23,5.82,12.25,11.86,17.7,0
404,0.74,8586.5,134.06,15.38,1097.95,63.77,24.81,10.88,3.18,-108.01,36.9,96.67,0
406,0.13,2955.88,130.5,15.57,894.99,48.99,17.02,45.43,4.24,77.55,12.49,31.18,1
408,0.56,9858.3,136.53,15.09,1743.53,47.07,3.82,16.98,7.38,36.14,8.73,200.36,1
409,0.36,4118.25,141.6,15.09,1144.28,60.72,3.3,16.07,7.64,107.25,26.99,79.45,0
410,0.12,9212.73,132.95,17.07,584.16,18.12,36.06,47.05,3.49,-125.41,45.71,48.81,0
412,1.75,4046.99,138.81,15.84,1211.75,1.61,64.69,14.87,4.06,57.33,3.42,222.61,1
414,1.39,3035.73,136.77,16.3,2082.08,6.78,9.15,34.73,0.35,49.76,11.95,68.09,0
415,0.25,5935.67,131.02,16.64,611.61,41.77,38.71,7.46,1.67,-125.98,16.23,65.16,0
417,0.37,9649.9,141.35,18.96,997.95,12.18,44.82,22.24,7.75,-126.59,48.99,227.63,0
418,0.44,9578.52,142.09,18.13,1669.57,4.92,1.98,4.22,4.71,81.16,4.18,250.61,0
419,0.67,542.94,132.83,18.55,2383.09,55.28,28.8,39.79,6.54,-44.77,49.34,142.79,0
420,0.08,3375.11,137.37,15.94,2097.11,59.96,2.85,31.41,7.23,56.66,4.55,229.46,1
421,0.83,6252.17,144.58,15.82,1880.75,36.02,61.84,12.54,2.51,122.08,51.57,249.78,1
422,0.25,8833.5,133.31,17.83,2371.84,37.77,64.97,44.65,5.18,60.97,22.48,93.18,1
425,1.84,275.69,130.51,16.17,1594.95,31.87,20.89,7.53,2.99,47.09,29.9,253.91,1
426,0.55,929.29,142.68,18.27,578.59,47.44,63.06,13.49,3.49,21.0,37.27,179.68,1
427,1.7,7304.45,142.55,15.66,1748.19,56.71,51.99,12.69,1.52,-111.45,50.57,108.9,0
428,0.58,4974.58,139.82,18.17,1629.04,20.88,21.06,44.07,4.77,-117.55,18.82,27.39,0
429,1.22,1075.03,133.56,17.2,1035.63,14.26,27.79,30.96,4.08,37.69,39.01,209.25,0
430,0.49,8023.45,143.67,16.84,1574.88,49.65,9.1,6.24,3.13,49.08,26.1,11.49,0
431,0.09,8794.73,144.24,18.7,1629.83,29.39,62.6,46.69,4.43,38.36,46.64,68.75,0
435,0.83,5642.83,132.09,15.99,1892.99,40.57,35.61,17.24,7.17,86.77,1.47,187.74,0
436,0.13,1979.57,137.21,15.37,1699.43,51.54,17.28,0.65,4.28,-74.59,20.62,68.99,1
437,0.18,4930.77,130.14,15.79,2417.29,50.96,3.01,23.06,0.78,109.13,43.6,155.49,1
438,1.17,5907.4,140.49,17.89,698.3,34.81,6.17,1.85,6.36,43.36,54.8,210.49,1
439,0.14,3079.58,132.58,16.55,1853.19,9.49,10.7,35.54,3.71,-93.53,32.96,251.36,0
440,1.32,8612.12,140.64,15.53,2362.35,21.85,39.86,6.83,0.41,-70.49,49.66,124.1,0
441,1.68,5225.36,131.1,17.85,1648.11,36.72,53.06,39.1,1.69,-112.57,59.15,64.89,1
443,0.59,5731.72,132.04,17.15,887.12,35.02,23.0,49.8,6.78,-126.4,4.87,192.23,0
444,0.69,2287.74,130.07,16.41,299.42,15.76,55.7,8.05,3.33,-107.2,21.76,238.7,1
445,0.3,696.7,131.76,16.16,2066.37,24.21,57.15,43.23,3.06,-1.62,53.7,239.45,1
446,1.56,9433.95,135.01,17.59,2312.36,4.32,52.58,13.5,1.56,-2.25,0.92,99.02,0
447,0.1,6666.63,132.52,16.61,942.8,16.84,39.08,1.71,6.39,105.18,55.76,213.2,1
448,1.16,7976.29,135.02,18.55,1265.7,19.24,31.69,8.9,2.74,3.37,41.72,164.45,1
449,0.47,5038.62,145.03,16.79,1838.81,16.22,27.08,34.31,1.75,-105.38,10.84,53.03,0
451,0.57,2647.28,140.15,18.79,1457.34,8.29,57.0,10.17,4.76,-14.84,14.66,221.48,0
452,0.29,2287.56,144.85,15.67,205.0,15.66,50.76,10.31,5.08,74.7,34.04,28.62,0
454,0.99,3707.12,137.79,17.35,1763.97,21.42,38.68,11.26,4.46,-76.94,8.66,196.45,1
455,1.18,8066.6,140.78,18.21,1727.18,1.08,47.72,29.13,1.03,-81.54,48.92,108.62,1
457,0.5,450.27,131.95,17.16,656.44,32.24,19.13,36.6,4.82,87.25,58.17,114.44,0
460,0.47,8056.87,131.15,16.68,1102.35,7.62,45.76,13.59,5.01,59.81,26.21,175.76,0
461,0.43,9370.54,135.38,15.95,1802.05,56.92,23.71,34.29,5.66,105.43,33.84,45.89,0
462,1.47,6521.47,139.49,18.55,40.66,2.43,46.64,9.06,4.08,-96.01,30.0,253.66,1
463,0.83,3810.58,142.34,17.68,1017.53,52.31,31.97,22.57,0.57,107.9,31.68,218.4,1
464,1.08,3388.76,143.17,18.15,657.81,18.04,29.95,36.57,5.95,126.44,33.85,40.76,1
465,0.63,624.13,145.45,15.67,1151.7,58.79,32.31,1.21,4.2,88.77,35.38,126.57,1
466,1.3,1483.04,139.99,16.62,337.42,1.46,2.59,24.0,4.63,-64.22,30.81,219.03,1
467,1.6,1675.85,136.01,16.8,1567.32,39.81,62.38,34.86,7.58,-1.97,8.21,123.2,0
468,0.07,1942.57,133.3,15.22,2053.65,49.47,8.54,13.76,4.05,-19.2,30.42,93.45,1
469,1.65,8233.36,143.09,16.2,730.61,53.45,54.5,9.51,7.63,15.29,5.52,172.6,0
470,1.12,2515.35,137.38,15.52,1167.01,21.81,52.87,47.19,0.5,22.71,24.95,209.63,1
471,0.46,4614.61,133.03,15.42,113.3,3.23,61.76,3.52,5.2,-34.81,54.35,178.5,0
472,0.45,7210.62,134.09,15.33,2220.24,18.88,61.82,32.78,6.26,62.93,8.79,234.15,0
473,1.13,2924.53,131.33,15.03,919.39,41.11,52.39,14.88,3.87,45.47,47.07,184.81,0
475,0.92,1348.5,139.01,16.13,764.35,33.15,34.78,45.79,4.73,122.41,46.73,203.53,0
476,1.88,5305.3,132.44,17.94,2474.37,54.83,56.94,23.98,4.58,-65.48,7.26,172.41,0
477,0.6,4415.37,132.73,17.34,1976.34,37.26,18.67,47.12,0.04,47.42,40.59,217.03,0
479,0.9,3315.33,134.87,16.97,1296.73,49.65,35.23,24.21,0.64,46.4,1.7,75.43,1
480,0.86,2936.21,140.26,16.58,1200.58,44.29,32.01,28.68,4.43,-36.16,9.25,183.22,0
481,0.73,8857.05,133.27,16.63,1783.6,34.4,22.74,21.1,2.11,-78.26,58.28,25.35,0
482,0.68,4483.65,142.59,15.3,1403.47,0.95,26.42,17.77,3.96,47.64,39.77,221.99,0
483,1.69,2728.58,143.78,16.74,1156.3,36.74,8.16,0.37,7.2,14.03,45.6,35.88,1
486,0.7,6293.93,140.57,17.19,741.29,62.0,19.96,38.04,1.76,-64.76,36.66,5.26,0
487,0.51,1880.03,144.76,18.55,1032.06,64.54,54.91,27.99,7.15,65.42,45.2,231.85,1
488,1.43,7505.49,133.56,17.24,355.62,30.62,29.43,7.75,6.54,-25.44,15.79,241.35,1
489,0.03,1293.75,130.24,16.24,207.03,1.7,49.11,45.85,1.11,-124.51,52.53,121.31,0
490,1.09,8121.28,134.52,16.83,2411.67,1.41,52.22,34.49,3.65,-125.04,54.15,162.24,0
492,0.29,3639.03,141.49,18.08,1104.74,61.04,13.71,28.31,2.01,-105.1,34.51,56.09,0
493,0.29,3557.86,143.54,15.53,1548.24,44.25,47.68,28.11,0.13,0.31,37.79,98.25,1
494,0.91,6332.09,140.34,17.5,2151.13,35.93,47.63,19.63,3.31,-95.38,60.45,147.35,1
496,0.15,8967.31,135.31,17.89,2131.85,47.7,1.58,18.61,1.35,-19.36,27.18,152.56,1
497,0.2,7645.77,133.59,18.05,1910.93,7.12,22.09,46.94,3.09,117.17,63.63,87.04,1
498,1.11,4542.24,132.57,16.43,748.27,16.99,59.08,3.66,0.42,-27.56,57.76,205.0,1
499,1.87,8259.49,136.88,15.6,1466.76,45.32,64.03,29.9,3.12,-98.77,36.18,244.33,1
500,0.64,4042.19,141.12,17.91,477.99,5.77,29.51,5.88,5.02,-17.69,17.37,88.6,0
501,0.22,4008.84,138.87,16.28,1872.71,21.76,10.04,14.85,7.63,-76.8,19.92,44.19,0
505,1.14,108.13,132.78,17.96,2405.54,19.43,51.64,38.05,4.93,-82.85,64.95,164.12,0
506,1.97,7167.17,140.62,17.31,1372.69,51.37,13.09,12.54,2.23,104.53,38.05,6.7,0
507,1.84,454.27,135.5,16.42,459.17,2.18,35.99,18.19,1.27,-120.75,31.19,114.65,0
508,1.39,7898.4,144.07,17.56,45.78,0.52,6.26,40.67,7.99,-80.03,34.44,254.34,1
509,1.46,511.72,140.71,15.37,1600.98,30.92,44.52,31.76,1.72,89.69,43.56,48.7,1
510,0.61,288.99,137.5,16.82,499.13,56.79,7.75,24.0,0.01,-92.22,59.47,229.69,1
512,1.49,128.1,144.63,17.81,2135.51,49.4,3.4,38.39,5.08,-1.78,18.55,147.62,0
513,1.71,9075.22,142.79,15.28,1583.15,28.95,50.34,24.96,2.69,-4.32,20.1,219.61,0
514,0.75,8098.11,137.11,16.06,1290.06,12.47,57.83,0.89,6.8,39.48,14.82,135.69,1
515,1.86,2933.57,131.61,18.27,1385.46,64.66,35.09,18.1,0.31,81.69,64.95,92.89,0
516,1.37,7036.88,144.94,17.56,1096.73,7.54,9.77,26.42,0.84,-52.53,44.44,116.45,0
517,0.09,7863.43,142.97,15.8,1725.46,48.5,13.56,13.51,1.04,94.09,36.6,5.14,0
518,0.79,9910.75,137.08,17.81,1381.95,58.25,16.61,3.51,0.3,74.18,13.87,127.09,1
519,1.56,69.24,131.34,16.99,1921.6,39.27,58.33,29.01,7.23,-42.15,58.56,26.28,1
520,1.61,5931.18,141.97,17.43,85.96,33.39,55.56,14.32,7.6,-78.81,57.14,57.22,0
524,0.59,2159.99,135.32,17.83,126.66,33.19,55.18,22.16,5.08,85.91,64.77,95.12,0
525,0.71,1276.8,143.45,17.12,30.41,44.02,50.48,38.74,1.96,-106.18,18.23,117.14,0
527,1.71,8971.62,142.32,17.76,234.23,20.83,23.6,10.24,1.09,-78.25,49.01,210.58,1
528,0.86,6816.08,130.14,16.15,2091.77,62.04,60.0,18.29,0.55,59.5,22.08,105.34,1
529,1.47,8284.25,130.62,18.99,1374.3,63.33,6.0,3.05,4.06,79.39,18.92,206.75,0
532,1.8,3178.86,140.53,18.62,1659.21,30.76,30.92,4.37,6.91,54.83,53.54,86.25,1
533,1.33,6631.75,141.58,18.68,1330.87,32.53,26.79,32.17,7.19,79.34,16.29,50.23,0
534,1.95,2820.89,135.48,17.96,1291.99,20.66,24.87,32.64,2.07,62.14,22.98,83.15,0
535,1.09,4190.9,139.74,18.12,2138.3,59.96,34.52,5.49,0.01,102.25,14.61,84.86,0
537,0.79,2825.25,131.93,16.2,1507.33,51.04,13.94,25.52,2.35,-94.18,23.78,71.98,1
538,0.85,6749.61,136.51,16.63,2297.96,13.19,15.77,0.93,0.98,30.74,64.75,235.13,0
539,1.74,2616.85,138.21,15.58,359.81,47.52,1.15,13.4,0.95,82.88,4.12,3.26,0
540,0.09,3172.92,138.13,16.21,944.01,4.6,25.25,21.48,7.32,13.04,53.38,78.65,1
541,1.12,1447.11,144.44,18.96,802.45,20.71,51.24,2.21,3.03,-27.98,57.55,77.1,0
542,1.99,1944.05,133.44,15.35,786.45,38.79,62.24,46.89,7.79,-48.08,35.45,33.76,0
543,0.9,2727.55,131.11,17.37,1933.22,14.82,21.72,35.09,7.52,-60.92,20.02,173.35,1
544,0.42,85.86,142.84,18.77,791.04,2.56,2.54,33.07,7.34,83.43,24.19,230.26,1
545,1.79,846.02,131.02,15.34,1743.84,30.8,17.21,44.29,5.55,-90.04,7.48,107.11,0
546,0.48,8218.22,132.84,15.91,261.62,53.33,9.85,25.62,1.2,63.72,15.94,231.41,0
547,0.01,8696.07,140.89,15.7,127.04,63.53,0.51,9.25,7.98,-5.35,14.73,12.52,1
548,1.97,477.55,140.61,16.74,2413.15,39.97,47.73,49.58,3.22,66.42,30.99,61.84,1
549,1.73,1722.69,131.33,18.18,2103.17,59.26,37.93,10.75,0.75,-80.5,44.43,25.45,0
551,1.64,2814.52,141.54,17.26,398.36,1.16,29.13,15.19,6.09,58.59,36.25,215.25,0
552,1.5,247.15,133.25,16.12,590.94,64.97,22.65,13.84,3.01,38.4,40.51,75.25,1
553,1.82,2065.58,134.95,16.3,944.07,37.31,63.51,25.66,3.83,-10.65,36.32,103.77,0
554,1.09,7497.64,141.23,18.53,156.06,22.12,47.3,30.16,7.9,6.91,12.54,45.9,0
555,0.73,7510.82,130.25,18.1,287.77,32.12,39.72,14.59,5.96,-54.47,50.58,0.78,0
556,0.56,6179.16,141.1,17.31,1926.98,63.01,44.52,29.17,1.55,47.29,16.76,169.12,0
557,0.48,8500.22,134.76,18.65,917.12,8.06,46.07,10.85,1.21,17.1,35.2,9.84,0
562,1.6,4475.49,132.7,18.85,2291.63,46.17,3.05,29.52,5.85,99.42,26.57,21.05,0
563,0.44,2555.95,142.82,16.41,1920.26,39.58,41.01,38.62,1.03,23.72,9.57,198.66,1
564,0.18,6531.16,131.83,17.44,389.83,38.48,6.06,47.13,8.0,100.65,55.68,246.8,1
565,1.84,6333.21,142.37,18.07,1519.32,47.98,39.28,18.27,3.48,110.88,7.15,123.24,0
566,1.05,3653.57,130.65,18.24,500.68,48.21,45.87,0.66,1.65,110.65,17.33,71.13,0
567,0.34,3373.94,135.58,17.39,1935.5,30.22,2.23,32.03,5.67,16.87,57.62,194.81,0
569,1.07,6920.92,137.59,18.88,2048.86,4.03,58.11,13.51,1.96,-88.87,2.87,113.34,0
571,0.66,7027.27,139.38,15.92,1401.74,11.64,52.34,3.06,1.86,61.28,4.06,225.72,1
573,1.25,5254.53,142.81,15.52,1411.23,31.21,10.43,10.57,6.61,40.03,60.82,8.44,0
575,1.31,4488.21,145.48,15.11,349.41,29.85,47.29,6.52,5.46,-72.59,32.56,192.96,0
576,0.6,3496.62,145.26,15.45,745.35,57.02,14.63,14.19,5.5,-54.83,30.24,211.96,0
577,1.42,8331.7,130.87,15.64,241.22,19.01,36.19,6.51,6.62,-107.78,22.74,90.07,0
578,1.65,5437.41,145.67,16.36,2135.81,5.78,43.18,26.05,3.04,-52.77,56.89,249.51,0
579,0.69,3501.73,139.91,18.31,681.07,59.24,60.29,19.91,5.47,127.24,5.79,35.07,0
580,1.27,8051.33,134.45,16.68,1332.18,51.71,28.19,9.61,6.9,70.52,28.57,174.0,0
581,1.48,8810.8,134.26,15.16,381.94,49.43,6.43,38.74,5.44,46.71,54.4,51.54,1
582,1.01,9686.84,134.79,15.91,1120.3,41.68,14.77,48.52,5.33,-104.68,10.79,82.05,0
585,0.85,2390.84,143.71,16.26,1883.45,24.51,49.89,35.93,1.42,-50.61,47.42,215.24,1
587,0.63,5730.02,135.91,18.53,2030.22,2.13,51.32,17.46,0.31,-76.56,52.96,98.19,0
588,1.89,9541.09,143.52,15.07,1053.06,40.29,45.37,29.65,3.86,-63.89,25.96,90.04,0
589,1.94,2583.56,133.23,18.12,78.0,58.28,36.49,41.85,6.46,96.81,52.91,134.43,1
590,1.87,2472.9,140.74,15.08,1914.11,5.48,23.02,42.26,1.86,-126.55,22.46,35.11,1
591,1.88,8985.79,141.35,16.36,202.33,40.12,60.86,10.82,5.64,-125.48,20.57,179.59,0
592,0.04,2528.37,131.55,18.91,2036.16,59.59,19.87,2.56,5.48,-94.3,41.13,148.08,0
593,1.77,8562.11,145.45,15.84,45.02,30.87,45.96,41.91,2.18,36.56,16.22,53.59,1
594,0.54,4236.59,135.48,17.22,1291.33,36.97,26.57,27.16,0.61,51.45,17.77,216.94,1
596,0.66,5702.37,140.03,16.28,1310.0,40.31,43.41,44.13,6.95,-100.89,64.48,24.04,0
600,1.67,415.3,131.12,16.93,1225.05,27.09,40.58,20.79,0.2,-66.68,55.26,49.71,0
601,1.6,1207.78,130.13,17.9,568.97,6.72,21.52,44.16,0.56,42.59,26.08,159.23,0
602,1.89,4383.01,139.85,17.91,727.22,20.65,46.99,4.69,4.71,-101.39,2.87,65.33,1
603,0.83,5134.78,134.37,17.87,440.39,20.7,2.38,22.51,3.98,81.09,38.66,33.76,0
605,0.73,3377.52,134.24,15.19,437.93,14.77,29.25,46.15,4.07,92.38,3.93,93.95,1
606,1.66,8755.93,137.62,16.11,1311.35,49.53,47.46,3.78,4.11,90.8,44.36,192.46,1
607,0.63,1124.92,135.18,17.9,758.45,62.44,64.63,20.51,1.5,83.71,59.93,22.03,0
608,0.58,1688.08,130.61,18.48,230.09,40.75,6.43,45.17,2.08,-52.32,60.27,217.43,1
610,1.49,2390.3,138.61,18.57,2084.87,59.99,34.28,1.97,2.14,115.86,35.88,175.81,0
611,0.4,6323.32,145.17,17.51,1507.93,20.48,46.22,10.9,5.07,109.04,3.93,137.06,0
612,0.26,7685.8,143.47,18.0,611.79,10.64,18.26,6.15,0.68,-95.81,3.68,30.81,1
613,0.47,1291.68,145.43,15.3,168.09,62.99,0.71,8.81,3.77,108.11,29.53,216.55,1
615,0.82,2679.12,143.11,17.33,1374.07,17.66,30.15,6.71,4.61,-72.98,16.21,3.15,0
616,0.87,4941.6,130.63,15.63,1014.86,3.13,64.63,41.37,4.5,29.45,59.71,234.6,1
617,1.11,9474.48,130.48,16.42,1050.05,58.56,38.62,14.47,7.59,-110.83,40.48,43.55,0
618,1.8,8690.44,130.51,17.22,2431.56,53.4,26.27,9.57,4.12,95.85,54.08,140.18,0
619,1.59,3237.91,143.31,16.72,1450.58,33.58,63.18,12.97,1.04,-109.29,52.38,191.13,1
620,1.24,7969.28,139.92,18.61,1737.5,29.7,28.38,1.93,4.7,2.77,36.43,61.29,0
621,0.38,5852.67,136.34,18.84,2239.1,39.52,29.83,13.43,7.11,-30.73,0.44,252.73,0
622,1.69,7593.43,130.26,17.29,868.91,4.35,28.71,28.17,1.97,-108.77,3.39,78.9,1
623,0.76,1457.91,133.91,17.95,38.02,58.86,5.98,30.59,7.38,96.31,16.16,108.41,1
624,0.21,614.09,137.89,15.18,1118.59,18.53,30.24,6.92,1.68,36.33,55.25,92.83,1
625,1.39,7961.42,137.33,16.22,1568.1,49.71,30.47,42.57,1.65,53.27,40.59,157.05,1
626,0.18,6844.96,141.94,16.35,1154.11,12.35,48.97,15.2,6.4,-61.98,33.48,144.81,1
627,0.34,5571.3,138.68,18.16,2171.08,22.59,11.75,8.22,5.62,-87.08,8.12,121.06,1
631,1.88,82.33,136.02,15.04,597.62,48.49,7.63,14.68,7.67,53.75,53.32,229.15,1
632,1.16,4725.81,141.7,16.42,1819.81,1.49,29.5,10.58,4.92,84.07,18.39,234.86,1
633,1.89,7458.2,132.62,15.21,268.9,60.23,57.71,12.68,7.6,99.21,3.39,186.93,0
634,1.85,5961.85,138.25,18.51,939.14,7.66,35.33,34.76,3.79,-108.14,32.9,18.95,1
636,0.84,6930.05,145.08,15.71,2386.77,38.74,46.81,17.72,6.75,93.57,27.99,220.53,0
637,0.66,495.82,144.29,15.46,565.33,54.37,30.44,7.16,4.88,-5.89,17.03,155.0,0
638,1.8,9018.4,136.64,15.68,1471.11,36.12,54.75,15.13,0.94,10.75,34.31,73.79,1
639,0.24,5162.12,145.98,17.85,1401.67,25.41,56.59,31.55,6.42,-33.0,61.24,221.4,0
642,0.84,1023.22,135.85,17.55,1001.04,40.62,25.77,7.14,0.33,-7.79,0.12,220.85,0
643,1.98,6632.46,136.45,18.58,648.03,12.91,35.84,0.53,0.74,84.98,48.78,243.6,1
646,0.72,2760.38,135.43,17.75,1459.29,6.04,43.6,18.57,6.63,6.11,48.22,32.08,0
647,1.64,8276.38,131.15,15.13,1242.63,33.41,0.11,47.23,4.63,124.25,28.81,5.98,0
648,0.77,3487.48,131.47,17.01,1766.95,43.26,32.95,12.27,7.55,-118.94,38.99,85.21,0
650,0.86,2563.98,130.87,16.02,268.84,11.15,46.5,21.84,2.53,86.8,8.88,102.02,0
651,1.57,9226.85,144.01,17.39,1719.24,47.16,32.34,5.23,6.07,-82.12,22.37,50.62,1
653,0.22,8462.6,144.87,15.08,2041.03,26.23,8.48,16.87,0.28,74.93,43.04,218.16,1
655,0.45,7515.17,136.46,17.84,658.92,51.06,24.21,35.75,3.73,-69.74,59.61,110.72,1
